Methanol_T,Methanol_P
64.9266332663327,110.246373096195
64.9285392853929,110.301307678131
64.930445304453,110.356266175321
64.9323513235132,110.411248620546
64.9342573425734,110.466255027384
64.9361633616336,110.521285385132
64.9380693806938,110.576339678011
64.939975399754,110.631417980072
64.9418814188142,110.686520254168
64.9437874378744,110.741646511107
64.9456934569346,110.796796793846
64.9475994759948,110.851971075126
64.949505495055,110.907169367676
64.9514115141151,110.962391692558
64.9533175331753,111.017638061369
64.9552235522355,111.072908469426
64.9571295712957,111.128202937426
64.9590355903559,111.183521451864
64.9609416094161,111.238864050759
64.9628476284763,111.294230724129
64.9647536475365,111.349621485974
64.9666596665967,111.405036367584
64.9685656856569,111.460475328295
64.9704717047171,111.515938420171
64.9723777237772,111.571425630003
64.9742837428374,111.626936981047
64.9761897618976,111.682472466398
64.9780957809578,111.738032103604
64.980001800018,111.793615912255
64.9819078190782,111.849223888239
64.9838138381384,111.904856030822
64.9857198571986,111.960512373253
64.9876258762588,112.016192906921
64.989531895319,112.071897643373
64.9914379143791,112.127626599571
64.9933439334393,112.1833797841
64.9952499524995,112.239157181697
64.9971559715597,112.294958815488
64.9990619906199,112.35078472065
65.0009680096801,112.406634860092
65.0028740287403,112.462509301053
65.0047800478005,112.518407996084
65.0066860668607,112.574330982951
65.0085920859209,112.630278248466
65.0104981049811,112.68624982498
65.0124041240412,112.742245717944
65.0143101431014,112.798265921745
65.0162161621616,112.854310469566
65.0181221812218,112.910379357332
65.020028200282,112.966472562496
65.0219342193422,113.022590139801
65.0238402384024,113.078732098231
65.0257462574626,113.134898411211
65.0276522765228,113.191089103477
65.029558295583,113.247304224912
65.0314643146431,113.30354372981
65.0333703337033,113.359807621046
65.0352763527635,113.416095957173
65.0371823718237,113.472408696942
65.0390883908839,113.528745883969
65.0409944099441,113.585107520092
65.0429004290043,113.641493607309
65.0448064480645,113.69790418055
65.0467124671247,113.754339204152
65.0486184861849,113.810798695427
65.0505245052451,113.867282716942
65.0524305243052,113.923791184568
65.0543365433654,113.980324206359
65.0562425624256,114.03688174012
65.0581485814858,114.093463782089
65.060054600546,114.150070373085
65.0619606196062,114.206701500763
65.0638666386664,114.263357160331
65.0657726577266,114.320037418174
65.0676786767868,114.376742244482
65.069584695847,114.433471640118
65.0714907149071,114.490225623945
65.0733967339673,114.547004201478
65.0753027530275,114.603807400644
65.0772087720877,114.660635212583
65.0791147911479,114.717487625837
65.0810208102081,114.774364697541
65.0829268292683,114.831266414058
65.0848328483285,114.888192768479
65.0867388673887,114.945143805262
65.0886448864489,115.002119495721
65.0905509055091,115.059119863637
65.0924569245692,115.116144922985
65.0943629436294,115.173194684049
65.0962689626896,115.230269147494
65.0981749817498,115.287368346394
65.10008100081,115.344492246841
65.1019870198702,115.401640869082
65.1038930389304,115.458814259861
65.1057990579906,115.516012397177
65.1077050770508,115.573235285559
65.109611096111,115.63048295728
65.1115171151712,115.687755388255
65.1134231342313,115.745052626874
65.1153291532915,115.802374637018
65.1172351723517,115.859721462557
65.1191411914119,115.917093120509
65.1210472104721,115.974489582798
65.1229532295323,116.031910897292
65.1248592485925,116.089357051673
65.1267652676527,116.146828051579
65.1286712867129,116.204323902025
65.1305773057731,116.261844634159
65.1324833248332,116.319390240107
65.1343893438934,116.376960730584
65.1362953629536,116.434556114289
65.1382013820138,116.492176427686
65.140107401074,116.549821638783
65.1420134201342,116.607491758466
65.1439194391944,116.665186824883
65.1458254582546,116.722906857305
65.1477314773148,116.780651791035
65.149637496375,116.83842172055
65.1515435154352,116.896216608065
65.1534495344953,116.954036479038
65.1553555535555,117.011881331324
65.1572615726157,117.069751175632
65.1591675916759,117.127646059129
65.1610736107361,117.185565934379
65.1629796297963,117.243510816642
65.1648856488565,117.301480738831
65.1667916679167,117.35947572163
65.1686976869769,117.417495764703
65.1706037060371,117.475540835274
65.1725097250972,117.533610990901
65.1744157441574,117.591706231663
65.1763217632176,117.649826544987
65.1782277822778,117.707971959588
65.180133801338,117.766142487222
65.1820398203982,117.824338120712
65.1839458394584,117.882558892132
65.1858518585186,117.940804773684
65.1877578775788,117.999075821184
65.189663896639,118.05737202308
65.1915699156992,118.11569335953
65.1934759347593,118.174039899444
65.1953819538195,118.232411589962
65.1972879728797,118.290808487616
65.1991939919399,118.349230585242
65.2011000110001,118.407677874428
65.2030060300603,118.466150399546
65.2049120491205,118.524648120491
65.2068180681807,118.583171102462
65.2087240872409,118.641719329242
65.2106301063011,118.700292785327
65.2125361253613,118.758891537959
65.2144421444214,118.817515531225
65.2163481634816,118.876164810855
65.2182541825418,118.934839400292
65.220160201602,118.993539268395
65.2220662206622,119.052264442001
65.2239722397224,119.111014934073
65.2258782587826,119.169790757789
65.2277842778428,119.228591920281
65.229690296903,119.287418434017
65.2315963159632,119.346270288401
65.2335023350233,119.40514751322
65.2354083540835,119.464050094703
65.2373143731437,119.522978088629
65.2392203922039,119.581931443836
65.2411264112641,119.640910203617
65.2430324303243,119.699914392531
65.2449384493845,119.758943990619
65.2468444684447,119.817999007027
65.2487504875049,119.877079477361
65.2506565065651,119.936185377865
65.2525625256253,119.995316753493
65.2544685446854,120.054473571012
65.2563745637456,120.113655868316
65.2582805828058,120.172863649527
65.260186601866,120.232096929748
65.2620926209262,120.291355722231
65.2639986399864,120.350640019328
65.2659046590466,120.409949833153
65.2678106781068,120.469285163572
65.269716697167,120.528646043215
65.2716227162272,120.588032468634
65.2735287352873,120.647444471826
65.2754347543475,120.706882013213
65.2773407734077,120.766345136852
65.2792467924679,120.825833867425
65.2811528115281,120.885348165145
65.2830588305883,120.94488807399
65.2849648496485,121.004453602628
65.2868708687087,121.064044739815
65.2887768877689,121.123661540437
65.2906829068291,121.183303962481
65.2925889258892,121.242972028876
65.2944949449494,121.302665769086
65.2964009640096,121.36238515495
65.2983069830698,121.422130238508
65.30021300213,121.481900996867
65.3021190211902,121.541697468797
65.3040250402504,121.601519621449
65.3059310593106,121.661367504721
65.3078370783708,121.721241134856
65.309743097431,121.781140484734
65.3116491164912,121.841065567971
65.3135551355514,121.90101640036
65.3154611546115,121.960993020579
65.3173671736717,122.020995395055
65.3192731927319,122.081023554674
65.3211792117921,122.141077493221
65.3230852308523,122.201157245317
65.3249912499125,122.261262788716
65.3268972689727,122.321394159511
65.3288032880329,122.381551357583
65.3307093070931,122.441734403638
65.3326153261533,122.501943281915
65.3345213452134,122.562178028269
65.3364273642736,122.622438632552
65.3383333833338,122.682725106252
65.340239402394,122.743037481116
65.3421454214542,122.803375722865
65.3440514405144,122.863739886214
65.3459574595746,122.924129957418
65.3478634786348,122.984545947477
65.349769497695,123.044987869597
65.3516755167552,123.105455735029
65.3535815358154,123.165949541662
65.3554875548755,123.226469320894
65.3573935739357,123.287015061171
65.3592995929959,123.347586767285
65.3612056120561,123.408184468212
65.3631116311163,123.468808170608
65.3650176501765,123.529457872095
65.3669236692367,123.590133593027
65.3688296882969,123.650835344872
65.3707357073571,123.711563121881
65.3726417264173,123.772316943046
65.3745477454774,123.833096824415
65.3764537645376,123.893902756358
65.3783597835978,123.954734772721
65.380265802658,124.015592864319
65.3821718217182,124.07647703423
65.3840778407784,124.137387326821
65.3859838598386,124.198323707643
65.3878898788988,124.259286238887
65.389795897959,124.320274859459
65.3917019170192,124.38128964853
65.3936079360793,124.442330570985
65.3955139551395,124.503397650564
65.3974199741997,124.564490884743
65.3993259932599,124.625610308808
65.4012320123201,124.686755905043
65.4031380313803,124.747927711642
65.4050440504405,124.809125721361
65.4069500695007,124.870349928774
65.4088560885609,124.931600368062
65.4107621076211,124.992877052795
65.4126681266813,125.054179966785
65.4145741457415,125.11550912747
65.4164801648016,125.176864558058
65.4183861838618,125.238246247809
65.420292202922,125.299654229385
65.4221982219822,125.361088502015
65.4241042410424,125.422549052459
65.4260102601026,125.484035919628
65.4279162791628,125.545549126318
65.429822298223,125.607088640201
65.4317283172832,125.668654496283
65.4336343363434,125.73024669521
65.4355403554035,125.791865237238
65.4374463744637,125.853510166742
65.4393523935239,125.915181472173
65.4412584125841,125.976879139379
65.4431644316443,126.038603230167
65.4450704507045,126.100353688627
65.4469764697647,126.162130583527
65.4488824888249,126.22393389416
65.4507885078851,126.285763643449
65.4526945269453,126.347619820483
65.4546005460055,126.409502450578
65.4565065650657,126.47141155592
65.4584125841258,126.533347111754
65.460318603186,126.595309152821
65.4622246222462,126.657297691154
65.4641306413064,126.719312713053
65.4660366603666,126.78135425786
65.4679426794268,126.843422314959
65.469848698487,126.905516918631
65.4717547175472,126.967638017632
65.4736607366074,127.029785684631
65.4755667556676,127.091959909407
65.4774727747277,127.154160696778
65.4793787937879,127.21638805846
65.4812848128481,127.278642015258
65.4831908319083,127.340922541715
65.4850968509685,127.403229691308
65.4870028700287,127.465563461296
65.4889088890889,127.527923826715
65.4908149081491,127.590310844904
65.4927209272093,127.652724498165
